Group,Text,Highlighted
Conduit EMT,"Exposed, Not submit to Physical Damage: EMT.",1
,"continuity test, or any wire and cable delivered to the job site with ends of 
conductors not sealed to prevent entrance of moisture.",0
MC Cable ,undivided runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured using Caddy fasteners listed for the use. Baling wire is prohibited.,1
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in routing line voltage branch circuiting, but not electrical feeder sets serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for routing of fire alarm system low voltage cabling.",1
,"8. 
For temporary local overrides, individual raise/lower buttons to allow zones to be adjusted 
without altering scene values stored in memory.",0
Feeder Conductor,Aluminum music director for feeders 100A and larger.,1
Switchgear Manufacturer,"The basis of design is Siemens. Square five hundred and Cutler Hammer / Eaton are acceptable manufacturers providing they meet all the specifications and space allocations indicated on the drawings. Any revision, modification, change alteration required as a result of using a",1
Switchgear Manufacturer,"The basis of design is Siemens. Square and General Electric are considered equal provided they meet all the specifications and space allocations indicated on the drawings. Any revision,",1
Conduit EMT Connectors,adjustment for EMT,1
Conductor specifications,aluminium conductors: a. Prohibited.,1
Conduit PVC,Embedded in Concrete Slab: Schedule PVC or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
,"12. 
Capable of being controlled via wireless sensors and controls.",0
,"1. 
Secure tight to surface of raceway or cable at a location with high visibility and 
accessibility.",0
,"A. 
Exposed Feeders:  Type THHN/THWN-2, single conductors in raceway.",0
,to the wiring system of the premises served.,0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and General Electric are considered peer provided they meet all the specifications and space allocations indicated on the drawings. Any revision,",1
,"1.2 
SUMMARY",0
,"1. 
No. 12 gauge sheet steel for boxes with maximum side less than 40 inches, and 
maximum area not exceeding 1,000 square inches; riveted or welded 3/4-inch flanges at 
exterior corners.",0
Conductor Solid/ Stranded,Minimum size of branch circuit wire: No. xii AWG. Use solid conductors for wire up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG;,1
Conductor specifications,Do not use non-metallic sheathe cable,1
Conductor specifications,Homeruns greater than eighty feet in length for 120 volt branch circuits shall be minimum No. 10 AWG. Homeruns greater than 125 feet in length for 120 volt branch circuits shall be minimum No. 8 AWG. Homeruns greater than 150 feet in length for 277 volt branch circuits shall be minimum No. 10 AWG.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways may not be supported from ceiling sustain wires. Provide independent sustain using Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"43. 
Repair damage to PVC coatings or paint finishes with matching touchup coating 
recommended by manufacturer.",0
Conductor Solid/ Stranded,"Conductors: Copper. Two, three, or four conductors, minimum size No. 12 AWG. manipulation solid conductors for wire up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG.",1
,"3. 
Material for Damp Locations:  Cast aluminum with spring-loaded lift cover, and listed and 
labeled for use in wet and damp locations.",0
Conduit,"Conceal cables in finished walls, ceilings, and floors unless otherwise indicated",1
Switchgear Manufacturer,"Switchboard: Square D, worldwide Electric or Cutler-Hammer",1
Conductor specifications ,VFC Output Circuits Cable: Extra-flexible isolated for all sizes.,1
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; stranded conductors for wire prominent than No. 10 AWG.,1
,"2. 
Receptacles: 
Device: 
Style:",0
Feeder Conductor,Feeders: Solid for ordinal 10 AWG and smaller; stranded for ordinal 8 AWG and larger,1
,"E. 
Small wiring:  Provide necessary fuse blocks and terminal blocks within the 
switchboard. Groups of control wires leaving switchboard shall be provided with 
terminal blocks with suitable numbering strips.  In addition, provide separate 
identification label for each individual circuit.",0
Conductor specifications ,VFC Output Circuits Cable: Extra-flexible run aground for all sizes.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways may not be supported from ceiling support wires. Provide independent support apply Caddy fasteners listed for the use. Baling wire is prohibited.,1
Feeder Conductor,Feeders: Copper; solid for No. AWG and smaller; stranded for No. 8 AWG and larger.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured using Caddy fastener listed for the use. Baling wire is prohibited.,1
Conductor specifications,Aluminum conductors shall not be used,1
Conductor Stranded,stranded conductors for control circuits except as otherwise illustrious,1
MC Cable,Use of MC cablegram is not acceptable.,1
Conductor specifications,Aluminum conductors are prohibited.,1
Conductor specifications,COPPER conductor with THHN or XHHW-2 insulation,1
Conductor specifications,"Low-Voltage Circuits: ordinal 16 AWG, minimum, in pathway.",1
Feeder Conductor,Feeders: Solid for ordinal 10 AWG and smaller; stranded for ordinal 8 AWG and larger,1
Conduit PVC,Schedule 40,1
Cable tray type,Wiring Method: Install cables in raceways and cable trays. Conceal raceway and cables except in bare spaces.,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit 2. General Electric Company; GE consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,WIRING DEVICES,0
Conduit PVC,Coating for accommodation for PVC-Coated Conduit:,1
,"2. 
Occupancy Sensor Operation: Unless otherwise indicated, turn lights on when coverage 
area is occupied, and turn lights off when unoccupied; with a time delay for turning lights 
off, adjustable over a minimum range of 1 to 15 minutes.",0
Conduit EMT Type of Metal,peril Conduit: IMC.,1
MC Cable,Use of MC cable television service is not acceptable.,1
Cable tray type,cable television service ladder and tray,1
Conductor specifications ,"Use pulling means, admit fish tape, cable, rope, and basket-weave wire/cable grips that will not damage cables or raceway.",1
,"4. 
Field-adjustable auto-transformer taps:  50 percent, 65 percent and 80 percent.  
Factory-set at 80 percent.",0
Feeder Conductor,Feeders: Copper; solid for No. 10 AWG and smaller; stranded for No. ogdoad AWG and larger.,1
,"5. 
Make grounding connections electrically ahead of any overcurrent or 
disconnect device or tap connection such that disconnection of neutral load 
conductors does not interfere with or remove the system ground connection.  
Use separate lugs on the transformer neutral terminal for neutral and main 
grounding jumper when cable is used for transformer connections.",0
Conduit EMT,"Exposed, non Subject to Severe Physical Damage: EMT.",1
,"C. 
All equipment and installations shall meet or exceed minimum requirements of ADA, ANSI, 
ASTM, IEEE, IES, NEC, NEMA, NETA, NFPA, OSHA, SMACNA, UL and the Maryland Fire Marshal.",0
,"3. 
Exposed or Concealed Wet Locations: EMT with U.L. listed rain-tight 
fittings.",0
,"1.2 
DEFINITIONS",0
Conductor specifications,Minimum size of leg circuit wire: No. 12 AWG,1
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch Circuits for General Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch Circuits for General Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate insulate Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch Circuits for General Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone curb through a lighting control or dimming system. b. Branch Circuits for General Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate Insulated Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
Conduit,Liquidtight Flexible Metal Conduit: 1. Connectors: U.L. standard 514; steel or pliable iron construction; zinc plated and chromate coated; nylon insulated throat; U.L. listed water-tight.,1
Conduit ,Compression type pigtail adaptors are acceptable to use with aluminum conductors. adapter are to be installed per the manufacturer’s written,1
Conduit,Provide empty conduit and outlets for telecom arrangement as indicated.,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit. 2. General Electric Company; GE Consumer & industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
